00000000.wav|Delta Dunării este cel mai tânăr pământ din România.|Delta Dunării este cel mai tânăr pământ din România.
00000001.wav|Delta s-a format la vărsarea fluviului Dunărea în Marea Neagră.|Delta s-a format la vărsarea fluviului Dunărea în Marea Neagră.
00000002.wav|Fluviul aduce cu el, în fiecare an, mii de tone de aluviuni, adică pământ, crengi, pietre, nisip, pe care le depune la vărsarea sa în mare, prelungind astfel, încet-încet, uscatul.|Fluviul aduce cu el, în fiecare an, mii de tone de aluviuni, adică pământ, crengi, pietre, nisip, pe care le depune la vărsarea sa în mare, prelungind astfel, încet-încet, uscatul.
00000003.wav|Delta este o rezervație naturală în care trăiesc 340 de specii de păsări, 45 de specii de pești de apă dulce, dar și multe mamifere și reptile.|Delta este o rezervație naturală în care trăiesc 340 de specii de păsări, 45 de specii de pești de apă dulce, dar și multe mamifere și reptile.
00000004.wav|Ana, Ionel, Dan, Anca, George, Dana și alți 20 de colegi ai lor, însoțiți de trei profesori, au făcut o excursie de patru zile în Deltă, prilej de relaxare, dar și de cunoaștere a florei și faunei din acest colț de țară.|Ana, Ionel, Dan, Anca, George, Dana și alți 20 de colegi ai lor, însoțiți de trei profesori, au făcut o excursie de patru zile în Deltă, prilej de relaxare, dar și de cunoaștere a florei și faunei din acest colț de țară.
00000005.wav|Excursioniștii au plătit câte 16 de lei pe zi pentru vaporaș și 54 de lei pe zi pentru masă și cazare.|Excursioniștii au plătit câte 16 de lei pe zi pentru vaporaș și 54 de lei pe zi pentru masă și cazare.
00000006.wav|Delta Dunării se află în județul Tulcea.|Delta Dunării se află în județul Tulcea.
00000007.wav|Ana, pelicanii mănâncă pești bolnavi sau morți.|Ana, pelicanii mănâncă pești bolnavi sau morți.
00000008.wav|Ei trăiesc în colonii ca să se ajute la pescuit.|Ei trăiesc în colonii ca să se ajute la pescuit.
00000009.wav|Anca, ce frumoase sunt lebedele!|Anca, ce frumoase sunt lebedele!
00000010.wav|Ionel, dă-mi binoclul să văd mai bine!|Ionel, dă-mi binoclul să văd mai bine!
00000011.wav|Ea se folosește ca hrană pentru animale.|Ea se folosește ca hrană pentru animale.
00000012.wav|PESCĂRUȘUL are cele trei degete de la picioare unite printr-o membrană, ceea ce îi înlesnește deplasarea pe apă.|PESCĂRUȘUL are cele trei degete de la picioare unite printr-o membrană, ceea ce îi înlesnește deplasarea pe apă.
00000013.wav|Masculii sunt ceva mai mari decât femelele.|Masculii sunt ceva mai mari decât femelele.
00000014.wav|Femela depune 2-4 ouă, păzite de ambii părinți.|Femela depune 2-4 ouă, păzite de ambii părinți.
00000015.wav|Ei pot ataca până și omul dacă au impresia că le sunt amenințate ouăle.|Ei pot ataca până și omul dacă au impresia că le sunt amenințate ouăle.
00000016.wav|Puii eclozează la 3-6 săptămâni.|Puii eclozează la 3-6 săptămâni.
00000017.wav|Ei pot să alerge și să înoate din prima zi.|Ei pot să alerge și să înoate din prima zi.
00000018.wav|Sunt hrăniți de părinți până la vârsta de 3-9 săptămâni.|Sunt hrăniți de părinți până la vârsta de 3-9 săptămâni.
00000019.wav|Puii de pescăruș devin păsări adulte la patru ani de la eclozare.|Puii de pescăruș devin păsări adulte la patru ani de la eclozare.
00000020.wav|LEBEDELE sunt păsări acvatice mari, cântărind uneori peste 15 kg.|LEBEDELE sunt păsări acvatice mari, cântărind uneori peste 15 kg.
00000021.wav|Pot fi recunoscute după gâtul curbat și după penajul alb (sau negru pentru unele specii).|Pot fi recunoscute după gâtul curbat și după penajul alb, sau negru pentru unele specii.
00000022.wav|Picioarele sunt acoperite cu o piele solzoasă, ceea ce arată înrudirea lor cu reptilele.|Picioarele sunt acoperite cu o piele solzoasă, ceea ce arată înrudirea lor cu reptilele.
00000023.wav|Lebedele se hrănesc cu plante, alge, iarbă, rădăcini, dar, uneori, mănâncă și viețuitoare acvatice mici.|Lebedele se hrănesc cu plante, alge, iarbă, rădăcini, dar, uneori, mănâncă și viețuitoare acvatice mici.
00000024.wav|Lebedele au ciocul zimțat, cu mici colțișori ascuțiți, cu ajutorul cărora prind hrana.|Lebedele au ciocul zimțat, cu mici colțișori ascuțiți, cu ajutorul cărora prind hrana.
00000025.wav|Puii sunt îngrijiți de ambii părinți.|Puii sunt îngrijiți de ambii părinți.
00000026.wav|BARZA trăiește până la 39 de ani.|BARZA trăiește până la 39 de ani.
00000027.wav|Cuibărește în zone joase, umede, mlăștinoase.|Cuibărește în zone joase, umede, mlăștinoase.
00000028.wav|Își instalează cuibul pe acoperișuri, coșuri, stâlpi electrici sau în arbori bătrâni.|Își instalează cuibul pe acoperișuri, coșuri, stâlpi electrici sau în arbori bătrâni.
00000029.wav|La construcția cuibului masculul aduce crenguțe, pământ, iar femela le așază.|La construcția cuibului masculul aduce crenguțe, pământ, iar femela le așază.
00000030.wav|Cuibul, reutilizat an de an, poate atinge 2,5 m diametru și 2 m înălțime.|Cuibul, reutilizat an de an, poate atinge 2,5 m diametru și 2 m înălțime.
00000031.wav|Barza depune o dată pe an 1-2 ouă.|Barza depune o dată pe an 1-2 ouă.
00000032.wav|Incubația durează 31-34 de zile.|Incubația durează 31-34 de zile.
00000033.wav|Puii la vârsta de 53-60 de zile părăsesc cuibul, dar sunt hrăniți încă 14 zile de ambii părinți.|Puii la vârsta de 53-60 de zile părăsesc cuibul, dar sunt hrăniți încă 14 zile de ambii părinți.
00000034.wav|Barza mănâncă broaște, mormoloci, pești, șerpi, șopârle, insecte, viermi, melci, șoareci, pui de păsări și de iepuri.|Barza mănâncă broaște, mormoloci, pești, șerpi, șopârle, insecte, viermi, melci, șoareci, pui de păsări și de iepuri.
00000035.wav|Barza migrează; sosește în Europa prin martie și pleacă spre Africa, în august.|Barza migrează; sosește în Europa prin martie și pleacă spre Africa, în august.
00000036.wav|De obicei perechile de berze se întorc la cuiburile lor.|De obicei perechile de berze se întorc la cuiburile lor.
00000037.wav|Primul se întoarce masculul, care apără cuibul în fața altor pretendenți și îl repară.|Primul se întoarce masculul, care apără cuibul în fața altor pretendenți și îl repară.
00000038.wav|Femela vine după o săptămână-două.|Femela vine după o săptămână-două.
00000039.wav|Numărul de berze s-a micșorat din cauza asanării continue a zonelor mlăștinoase și a utilizării pesticidelor.|Numărul de berze s-a micșorat din cauza asanării continue a zonelor mlăștinoase și a utilizării pesticidelor.
00000040.wav|De asemenea, foarte multe berze mor în timpul migrațiilor, mai ales în urma a numeroase accidente provocate de firele de înaltă tensiune.|De asemenea, foarte multe berze mor în timpul migrațiilor, mai ales în urma a numeroase accidente provocate de firele de înaltă tensiune.
00000041.wav|ROȘIOARA are o greutate cuprinsă între 200 și 300 g. Se hrănește cu larve și crustacee mici iar vara, prinde muște și țânțari la suprafața apei.|ROȘIOARA are o greutate cuprinsă între 200 și 300 g. Se hrănește cu larve și crustacee mici iar vara, prinde muște și țânțari la suprafața apei.
00000042.wav|STAVRIDUL este un pește migrator, cu o lungime de 10-15 cm și o greutate de 80-120 g. El se hrănește cu pești mai mici, crustacee și cefalopode.|STAVRIDUL este un pește migrator, cu o lungime de 10-15 cm și o greutate de 80-120 g. El se hrănește cu pești mai mici, crustacee și cefalopode.
00000043.wav|AVATUL are o lungime de 50-60 cm și o greutate 4-7 kg.|AVATUL are o lungime de 50-60 cm și o greutate 4-7 kg.
00000044.wav|Se hrănește cu larve, moluște și viermi când este tânăr, iar când este adult, cu pești mai mici.|Se hrănește cu larve, moluște și viermi când este tânăr, iar când este adult, cu pești mai mici.
00000045.wav|BIBANUL este un pește lacom, care stă la pândă pentru a „pescui”.|BIBANUL este un pește lacom, care stă la pândă pentru a „pescui”.
00000046.wav|Are între 30 și 35 cm și o greutate de 200-500 g. SOMNUL are mustăți, dar este lipsit de solzi.|Are între 30 și 35 cm și o greutate de 200-500 g. SOMNUL are mustăți, dar este lipsit de solzi.
00000047.wav|El pescuiește stând pe fundul apei și mișcându-și mustățile pentru a atrage peștișori.|El pescuiește stând pe fundul apei și mișcându-și mustățile pentru a atrage peștișori.
00000048.wav|Lungimea lui poate depăși 1 m și greutatea poate depăși 10-15 kg.|Lungimea lui poate depăși 1 m și greutatea poate depăși 10-15 kg.
00000049.wav|NURCA este un animal singuratic, semiacvatic.|NURCA este un animal singuratic, semiacvatic.
00000050.wav|Își amenajează culcușul în maluri, sub rădăcini de arbori, sau în adâncituri de teren, cu galerie de ieșire în apă.|Își amenajează culcușul în maluri, sub rădăcini de arbori, sau în adâncituri de teren, cu galerie de ieșire în apă.
00000051.wav|Nurca se hrănește cu pești, broaște și raci.|Nurca se hrănește cu pești, broaște și raci.
00000052.wav|Naște o dată pe an, la începutul verii.|Naște o dată pe an, la începutul verii.
00000053.wav|În timp ce masculul poate avea chiar și 5 kg, femela abia atinge greutatea de 1 kg.|În timp ce masculul poate avea chiar și 5 kg, femela abia atinge greutatea de 1 kg.
00000054.wav|NUTRIA este un animal semiacvatic sociabil, care trăiește în colonii.|NUTRIA este un animal semiacvatic sociabil, care trăiește în colonii.
00000055.wav|Este mult mai agilă în apă decât pe uscat.|Este mult mai agilă în apă decât pe uscat.
00000056.wav|Femela naște de trei ori pe an și își cară puișorii mici în spate.|Femela naște de trei ori pe an și își cară puișorii mici în spate.
00000057.wav|Corpul unei nutrii poate ajunge până la 60 cm lungime.|Corpul unei nutrii poate ajunge până la 60 cm lungime.
00000058.wav|Coada lungă este acoperită cu păr și solzi.|Coada lungă este acoperită cu păr și solzi.
00000059.wav|Are lungimea de aproximativ o jumătate de metru și greutatea de 7-8 kg.|Are lungimea de aproximativ o jumătate de metru și greutatea de 7-8 kg.
00000060.wav|VIDRA trăiește în apă și pe uscat, având vizuina cu două intrări.|VIDRA trăiește în apă și pe uscat, având vizuina cu două intrări.
00000061.wav|Când este în apă, își închide nările și urechile.|Când este în apă, își închide nările și urechile.
00000062.wav|Blana deasă este îmbibată cu grăsime care o protejează de frig.|Blana deasă este îmbibată cu grăsime care o protejează de frig.
00000063.wav|Vidra mănâncă pește, raci, melci, păsări și șoareci de apă.|Vidra mănâncă pește, raci, melci, păsări și șoareci de apă.
00000064.wav|Poate ajunge la dimensiuni de până la 1 metru și la o greutate de până la 45 kg.|Poate ajunge la dimensiuni de până la 1 metru și la o greutate de până la 45 kg.
00000065.wav|Manualul școlar a fost elaborat în conformitate cu prevederile Curriculumului la disciplină, aprobat prin ordinul ministrului educației, culturii și cercetării nr. 1124 din 20 iulie 2018.|Manualul școlar a fost elaborat în conformitate cu prevederile Curriculumului la disciplină, aprobat prin ordinul ministrului educației, culturii și cercetării nr. 1124 din 20 iulie 2018.
00000066.wav|Manualul a fost aprobat prin ordinul ministrului educației, culturii și cercetării nr. 969 din 21.07.2021 ca urmare a evaluării calității metodico-științifice.|Manualul a fost aprobat prin ordinul ministrului educației, culturii și cercetării nr. 969 din 21.07.2021 ca urmare a evaluării calității metodico-științifice.
00000067.wav|Acest manual este proprietate publică, editat din bugetul de stat, sursa Ministerului Educației și Cercetării și transmis cu titlu gratuit.|Acest manual este proprietate publică, editat din bugetul de stat, sursa Ministerului Educației și Cercetării și transmis cu titlu gratuit.
00000068.wav|Toate drepturile asupra acestei ediții aparțin Întreprinderii Editorial-Poligrafice Știința.|Toate drepturile asupra acestei ediții aparțin Întreprinderii Editorial-Poligrafice Știința.
00000069.wav|Mă numesc ABECEDAR, M-ați primit, copii, în dar.|Mă numesc ABECEDAR, M-ați primit, copii, în dar.
00000070.wav|Vreau să mă prezint acum și apoi pornim la drum.|Vreau să mă prezint acum și apoi pornim la drum.
00000071.wav|Am coperte colorate, filele sunt protejate.|Am coperte colorate, filele sunt protejate.
00000072.wav|Fiecare filă este o fărâmă din poveste.|Fiecare filă este o fărâmă din poveste.
00000073.wav|Foile nu pleacă-n zbor, că-s lipite la cotor.|Foile nu pleacă-n zbor, că-s lipite la cotor.
00000074.wav|Noi suntem bobocei, la drum pornim, Vom învăța să scriem, să citim.|Noi suntem bobocei, la drum pornim, Vom învăța să scriem, să citim.
00000075.wav|Abecedarul ne va însoți Și taine noi ne va dezvălui.|Abecedarul ne va însoți Și taine noi ne va dezvălui.
